"Word","POS","Sense","Lem","Stem","Frequency","Class","Notes"
"experience","NN","experience.n.03","experience","experi", 2168
"experience","NN","experience.n.02","experience","experi", 1914
"devops","NNP","None","devops","devop", 1651
"team","NN","team.n.02","team","team", 1261
"job","NNP","problem.n.01","job","job", 1118
"infrastructure","NN","infrastructure.n.02","infrastructure","infrastructur", 1069
"description","NN","description.n.03","description","descript", 1049
"engineer","NNP","engineer.n.02","engineer","engin", 936
"aws","NNP","None","aws","aw", 921
"software","NN","software.n.01","software","softwar", 919
"years","NNS","year.n.03","year","year", 884
"'s","POS","None","'s","'s", 837
"environment","NN","environment.n.02","environment","environ", 787
"skills","NNS","skill.n.02","skill","skill", 740
"management","NN","management.n.02","management","manag", 678
"tools","NNS","creature.n.03","tool","tool", 629
"linux","NNP","linux.n.01","linux","linux", 600
"development","NN","growth.n.01","development","develop", 590
"skills","NNP","skill.n.02","skills","skill", 563
"experience","NNP","experience.n.03","experience","experi", 548
"company","NN","ship's_company.n.01","company","compani", 542
"work","NN","work.n.05","work","work", 523
"platform","NN","platform.n.03","platform","platform", 517
"new","JJ","new.a.06","new","new", 491
"teams","NNS","team.n.02","team","team", 487
"strong","JJ","strong.a.01","strong","strong", 474
"looking","VBG","front.v.01","looking","look", 469
"tools","NNS","tool.n.01","tool","tool", 453
"development","NN","development.n.09","development","develop", 449
"knowledge","NN","cognition.n.01","knowledge","knowledg", 446
"'re","VBP","None","'re","'re", 436
"data","NNS","datum.n.01","data","data", 433
"security","NN","security.n.06","security","secur", 432
"team","NN","team.n.01","team","team", 432
"docker","NNP","stevedore.n.01","docker","docker", 431
"cloud","NN","swarm.n.02","cloud","cloud", 431
"working","VBG","work.v.19","working","work", 427
"chef","NNP","chef.n.01","chef","chef", 410
"systems","NNS","system.n.08","system","system", 408
"deployment","NN","deployment.n.01","deployment","deploy", 393
"code","NN","code.n.03","code","code", 386
"monitoring","NN","monitoring.n.01","monitoring","monitor", 380
"opportunity","NN","opportunity.n.01","opportunity","opportun", 372
"technology","NN","technology.n.01","technology","technolog", 371
"automation","NN","automation.n.03","automation","autom", 366
"work","VB","work.v.19","work","work", 365
"technologies","NNS","technology.n.01","technology","technolog", 361
"benefits","NNP","benefit.n.03","benefits","benefit", 355
"strong","JJ","potent.a.03","strong","strong", 353
"status","NN","status.n.01","status","statu", 350
"also","RB","besides.r.02","also","also", 347
"high","JJ","high.a.04","high","high", 347
"ruby","NNP","ruby.n.02","ruby","rubi", 346
"using","VBG","use.v.04","using","use", 346
"including","VBG","admit.v.03","including","includ", 338
"services","NNS","services.n.01","service","servic", 336
"san","NNP","None","san","san", 331
"understanding","NN","understanding.n.01","understanding","understand", 328
"'ll","MD","None","'ll","'ll", 326
"python","NNP","python.n.02","python","python", 321
"puppet","NNP","puppet.n.03","puppet","puppet", 317
"knowledge","NNP","cognition.n.01","knowledge","knowledg", 317
"customers","NNS","customer.n.01","customer","custom", 316
"scripting","VBG","script.v.01","scripting","script", 315
"ability","NN","ability.n.02","ability","abil", 315
"etc","NN","None","etc","etc", 315
"continuous","JJ","continuous.a.02","continuous","continu", 308
"required","NNP","None","required","requir", 305
"responsible","JJ","responsible.a.01","responsible","respons", 302
"python","NNP","python.n.03","python","python", 301
"perks","NNP","fringe_benefit.n.01","perks","perk", 301
"production","NN","production.n.08","production","product", 295
"help","VB","serve.v.05","help","help", 294
"excellent","JJ","None","excellent","excel", 291
"technical","JJ","technical.a.03","technical","technic", 290
"computer","NNP","computer.n.01","computer","comput", 290
"role","NN","function.n.03","role","role", 284
"etc","FW","None","etc","etc", 284
"science","NNP","skill.n.02","science","scienc", 275
"cloud","NNP","swarm.n.02","cloud","cloud", 273
"responsibilities","NNS","responsibility.n.03","responsibilities","respons", 272
"environments","NNS","environment.n.02","environment","environ", 272
"operations","NNS","operations.n.01","operation","oper", 268
"ansible","NNP","None","ansible","ansibl", 262
"engineer","NN","engineer.n.02","engineer","engin", 261
"customer","NN","customer.n.01","customer","custom", 257
"configuration","NN","shape.n.01","configuration","configur", 255
"integration","NN","integration.n.03","integration","integr", 254
"engineering","NN","technology.n.01","engineering","engin", 251
"cloud","JJ","None","cloud","cloud", 249
"systems","NNS","organization.n.05","system","system", 247
"projects","NNS","undertaking.n.01","project","project", 244
"new","JJ","new.a.01","new","new", 244
"ci","NNP","curie.n.01","ci","ci", 243
"support","NN","support.n.04","support","support", 242
"qualifications","NNS","reservation.n.02","qualifications","qualif", 238
"senior","JJ","senior.a.01","senior","senior", 238
"people","NNS","multitude.n.03","people","peopl", 233
"design","NN","invention.n.01","design","design", 233
"engineers","NNS","engineer.n.02","engineer","engin", 231
"world","NN","worldly_concern.n.01","world","world", 231
"large","JJ","large.a.01","large","larg", 229
"communication","NN","communication.n.03","communication","commun", 226
"benefits","NNS","benefit.n.03","benefit","benefit", 226
